1	båre	Patienten blev lagt på en ______.
1	båre	Redderne kørte en ______ hen til patienten.
1	båre	En ______ blev gjort klar ved ambulancen.
1	båre	Patienten blev spændt sikkert fast på en ______.
1	båre	Redderne løftede forsigtigt ______ ind i bilen.
1	puls	Redderen målte patientens ______ ved håndleddet.
1	puls	En hurtig ______ kunne mærkes ved håndleddet.
1	puls	Patientens ______ blev kontrolleret igen ved håndleddet.
1	puls	Monitoren viste patientens ______.
1	puls	Redderen noterede en regelmæssig ______.
1	ilt	Patienten fik ekstra ______.
1	ilt	Redderen gjorde udstyr til ______ klar.
1	ilt	Der blev givet ______ gennem en maske.
1	ilt	Patienten havde behov for mere ______.
1	ilt	Ambulancen havde flasker med ______ om bord.
1	maske	Redderen satte en ______ foran patientens ansigt.
1	maske	En ______ blev koblet til ilten.
1	maske	Patienten fik ilt gennem en ______.
1	maske	Redderen valgte en passende ______.
1	maske	Efter brug blev den anvendte ______ kasseret.
1	ambulance	En ______ blev sendt til adressen.
1	ambulance	Patienten blev kørt til hospitalet i en ______.
1	ambulance	Redderne gjorde deres ______ klar.
1	ambulance	En gul ______ ankom med blå blink.
1	ambulance	Udstyret blev hentet fra ______.
1	smerter	Patienten fortalte om stærke ______.
1	smerter	Redderen spurgte, hvor patientens ______ sad.
1	smerter	Patientens ______ var begyndt pludseligt.
1	smerter	Redderen vurderede graden af ______.
1	blink	Ambulancen kørte med blå ______.
2	blodtryk	Ambulancepersonalet målte patientens ______ med en manchet.
2	blodtryk	Et lavt ______ kan være vigtigt at opdage.
2	blodtryk	Redderen gentog målingen af ______ efter nogle minutter.
2	blodtryk	Manchetten blev brugt til at måle ______.
2	blodtryk	Patientens målte ______ blev skrevet i journalen.
2	temperatur	Redderen målte patientens ______ med et termometer.
2	temperatur	En høj ______ kan være tegn på feber.
2	temperatur	Patientens ______ blev kontrolleret igen med termometeret.
2	temperatur	Termometeret viste en normal ______.
2	temperatur	Redderen noterede den målte ______.
2	bevidsthed	Redderen vurderede patientens ______ ved at stille spørgsmål.
2	bevidsthed	Patientens ______ ændrede sig under transporten.
2	bevidsthed	En påvirket ______ kræver tæt observation.
2	bevidsthed	Redderne kontrollerede løbende patientens ______.
2	bevidsthed	Spørgsmål blev brugt til at vurdere patientens ______.
2	monitor	Redderen tilsluttede patienten til en ______.
2	monitor	En ______ viste flere af patientens værdier.
2	monitor	Patientens rytme kunne ses på ______.
2	monitor	Redderen kontrollerede skærmen på sin ______.
2	monitor	Under transporten blev ______ fulgt tæt.
2	journal	Redderen skrev oplysningerne i patientens ______.
2	journal	En ______ samlede data fra hele forløbet.
2	journal	Patientens værdier blev gemt i ______.
2	journal	Redderen afsluttede sin ______ efter afleveringen.
2	journal	Hospitalet modtog relevante oplysninger fra ambulancens ______.
2	patient	Redderne undersøgte en ______ på stedet.
2	patient	En ______ fortalte om svimmelhed.
2	patient	Ambulancen transporterede sin ______ til hospitalet.
